yearID,teamID,name,W,payroll
2000,ANA,Anaheim Angels,82,51464167
2000,ARI,Arizona Diamondbacks,85,81027833
2000,ATL,Atlanta Braves,95,84537836
2000,BAL,Baltimore Orioles,74,81447435
2000,BOS,Boston Red Sox,85,77940333
2000,CHA,Chicago White Sox,95,31133500
2000,CHN,Chicago Cubs,65,60539333
2000,CIN,Cincinnati Reds,85,46867200
2000,CLE,Cleveland Indians,90,75880771
2000,COL,Colorado Rockies,82,61111190
2000,DET,Detroit Tigers,79,58265167
2000,FLO,Florida Marlins,79,19872000
2000,HOU,Houston Astros,72,51289111
2000,KCA,Kansas City Royals,77,23433000
2000,LAN,Los Angeles Dodgers,86,87924286
2000,MIL,Milwaukee Brewers,73,36505333
2000,MIN,Minnesota Twins,69,16519500
2000,MON,Montreal Expos,67,32994333
2000,NYA,New York Yankees,87,92338260
2000,NYN,New York Mets,94,79509776
2000,OAK,Oakland Athletics,91,31971333
2000,PHI,Philadelphia Phillies,65,47308000
2000,PIT,Pittsburgh Pirates,69,28928334
2000,SDN,San Diego Padres,76,54821000
2000,SEA,Seattle Mariners,91,58915000
2000,SFN,San Francisco Giants,97,53737826
2000,SLN,St. Louis Cardinals,95,61453863
2000,TBA,Tampa Bay Devil Rays,69,62765129
2000,TEX,Texas Rangers,71,70795921
2000,TOR,Toronto Blue Jays,83,44838332
2001,ANA,Anaheim Angels,75,47535167
2001,ARI,Arizona Diamondbacks,92,85082999
2001,ATL,Atlanta Braves,88,91936166
2001,BAL,Baltimore Orioles,63,67599540
2001,BOS,Boston Red Sox,82,110035833
2001,CHA,Chicago White Sox,83,65653667
2001,CHN,Chicago Cubs,88,64715833
2001,CIN,Cincinnati Reds,66,48986000
2001,CLE,Cleveland Indians,91,93152001
2001,COL,Colorado Rockies,73,71541334
2001,DET,Detroit Tigers,66,53416167
2001,FLO,Florida Marlins,76,35762500
2001,HOU,Houston Astros,93,60612667
2001,KCA,Kansas City Royals,65,35422500
2001,LAN,Los Angeles Dodgers,86,109105953
2001,MIL,Milwaukee Brewers,68,43886833
2001,MIN,Minnesota Twins,85,24130000
2001,MON,Montreal Expos,68,35159500
2001,NYA,New York Yankees,95,112287143
2001,NYN,New York Mets,82,93174428
2001,OAK,Oakland Athletics,102,33810750
2001,PHI,Philadelphia Phillies,86,41663833
2001,PIT,Pittsburgh Pirates,62,57760833
2001,SDN,San Diego Padres,79,39182833
2001,SEA,Seattle Mariners,116,74720834
2001,SFN,San Francisco Giants,90,63280167
2001,SLN,St. Louis Cardinals,93,78538333
2001,TBA,Tampa Bay Devil Rays,62,56980000
2001,TEX,Texas Rangers,73,88633500
2001,TOR,Toronto Blue Jays,80,76895999
2002,ANA,Anaheim Angels,99,61721667
2002,ARI,Arizona Diamondbacks,98,102819999
2002,ATL,Atlanta Braves,101,92870367
2002,BAL,Baltimore Orioles,67,60493487
2002,BOS,Boston Red Sox,93,108366060
2002,CHA,Chicago White Sox,81,57052833
2002,CHN,Chicago Cubs,67,75690833
2002,CIN,Cincinnati Reds,78,45050390
2002,CLE,Cleveland Indians,74,78909449
2002,COL,Colorado Rockies,73,56851043
2002,DET,Detroit Tigers,55,55048000
2002,FLO,Florida Marlins,79,41979917
2002,HOU,Houston Astros,84,63448417
2002,KCA,Kansas City Royals,62,47257000
2002,LAN,Los Angeles Dodgers,92,94850953
2002,MIL,Milwaukee Brewers,56,50287833
2002,MIN,Minnesota Twins,94,40425000
2002,MON,Montreal Expos,83,38670500
2002,NYA,New York Yankees,103,125928583
2002,NYN,New York Mets,75,94633593
2002,OAK,Oakland Athletics,103,40004167
2002,PHI,Philadelphia Phillies,80,57954999
2002,PIT,Pittsburgh Pirates,72,42323599
2002,SDN,San Diego Padres,66,41425000
2002,SEA,Seattle Mariners,93,80282668
2002,SFN,San Francisco Giants,95,78299835
2002,SLN,St. Louis Cardinals,97,74660875
2002,TBA,Tampa Bay Devil Rays,55,34380000
2002,TEX,Texas Rangers,72,105526122
2002,TOR,Toronto Blue Jays,78,76864333
2003,ANA,Anaheim Angels,77,79031667
2003,ARI,Arizona Diamondbacks,84,80657000
2003,ATL,Atlanta Braves,101,106243667
2003,BAL,Baltimore Orioles,71,73877500
2003,BOS,Boston Red Sox,95,99946500
2003,CHA,Chicago White Sox,86,51010000
2003,CHN,Chicago Cubs,88,79868333
2003,CIN,Cincinnati Reds,69,59355667
2003,CLE,Cleveland Indians,68,48584834
2003,COL,Colorado Rockies,74,67179667
2003,DET,Detroit Tigers,43,49168000
2003,FLO,Florida Marlins,91,49450000
2003,HOU,Houston Astros,87,71040000
2003,KCA,Kansas City Royals,83,40518000
2003,LAN,Los Angeles Dodgers,85,105572620
2003,MIL,Milwaukee Brewers,68,40627000
2003,MIN,Minnesota Twins,90,55505000
2003,MON,Montreal Expos,83,51948500
2003,NYA,New York Yankees,101,152749814
2003,NYN,New York Mets,66,116876429
2003,OAK,Oakland Athletics,96,50260834
2003,PHI,Philadelphia Phillies,86,70780000
2003,PIT,Pittsburgh Pirates,75,54812429
2003,SDN,San Diego Padres,64,45210000
2003,SEA,Seattle Mariners,93,86959167
2003,SFN,San Francisco Giants,100,82852167
2003,SLN,St. Louis Cardinals,85,83786666
2003,TBA,Tampa Bay Devil Rays,63,19630000
2003,TEX,Texas Rangers,71,103491667
2003,TOR,Toronto Blue Jays,86,51269000
2004,ANA,Anaheim Angels,92,100534667
2004,ARI,Arizona Diamondbacks,51,69780750
2004,ATL,Atlanta Braves,96,90182500
2004,BAL,Baltimore Orioles,78,51623333
2004,BOS,Boston Red Sox,98,127298500
2004,CHA,Chicago White Sox,83,65212500
2004,CHN,Chicago Cubs,89,90560000
2004,CIN,Cincinnati Reds,76,46615250
2004,CLE,Cleveland Indians,80,34319300
2004,COL,Colorado Rockies,68,65445167
2004,DET,Detroit Tigers,72,46832000
2004,FLO,Florida Marlins,83,42143042
2004,HOU,Houston Astros,92,75397000
2004,KCA,Kansas City Royals,58,47609000
2004,LAN,Los Angeles Dodgers,93,92902001
2004,MIL,Milwaukee Brewers,67,27528500
2004,MIN,Minnesota Twins,92,53585000
2004,MON,Montreal Expos,67,40897500
2004,NYA,New York Yankees,101,184193950
2004,NYN,New York Mets,71,96660970
2004,OAK,Oakland Athletics,91,59425667
2004,PHI,Philadelphia Phillies,86,92919167
2004,PIT,Pittsburgh Pirates,72,32227929
2004,SDN,San Diego Padres,87,55384833
2004,SEA,Seattle Mariners,63,81515834
2004,SFN,San Francisco Giants,91,82019166
2004,SLN,St. Louis Cardinals,105,83228333
2004,TBA,Tampa Bay Devil Rays,70,29556667
2004,TEX,Texas Rangers,89,55050417
2004,TOR,Toronto Blue Jays,67,50017000
2005,ARI,Arizona Diamondbacks,77,62329166
2005,ATL,Atlanta Braves,90,86457302
2005,BAL,Baltimore Orioles,74,73914333
2005,BOS,Boston Red Sox,95,123505125
2005,CHA,Chicago White Sox,99,75178000
2005,CHN,Chicago Cubs,79,87032933
2005,CIN,Cincinnati Reds,73,61892583
2005,CLE,Cleveland Indians,93,41502500
2005,COL,Colorado Rockies,67,47839000
2005,DET,Detroit Tigers,71,69092000
2005,FLO,Florida Marlins,83,60408834
2005,HOU,Houston Astros,89,76779000
2005,KCA,Kansas City Royals,56,36881000
2005,LAA,Los Angeles Angels of Anaheim,95,94867822
2005,LAN,Los Angeles Dodgers,71,83039000
2005,MIL,Milwaukee Brewers,81,39934833
2005,MIN,Minnesota Twins,83,56186000
2005,NYA,New York Yankees,95,208306817
2005,NYN,New York Mets,83,101305821
2005,OAK,Oakland Athletics,88,55425762
2005,PHI,Philadelphia Phillies,88,95522000
2005,PIT,Pittsburgh Pirates,67,38133000
2005,SDN,San Diego Padres,82,63290833
2005,SEA,Seattle Mariners,69,87754334
