yearID,teamID,name,W,payroll,Batting_WAR,Pitching_WAR,Total_WAR,Dollars_per_Win,Dollars_per_WAR,WAR_per_Million,Wins_per_100M
2000,ANA,Anaheim Angels,82,51464167,30.25,8.410000001,38.660000001,627611.7926829269,1331199.3533023486,0.7512022880113847,159.33416351614122
2000,ARI,Arizona Diamondbacks,85,81027833,13.965,20.973333334,34.938333334,953268.6235294117,2319167.094360174,0.4311892844771006,104.90222538717035
2000,ATL,Atlanta Braves,95,84537836,24.529999999999998,21.163333333,45.693333333,889871.9578947368,1850113.1310318802,0.5405074874757854,112.37571777919652
2000,BAL,Baltimore Orioles,74,81447435,17.065,8.560000002,25.625000002,1100641.0135135136,3178436.487556805,0.314620098251099,90.85614543907981
2000,BOS,Boston Red Sox,85,77940333,15.94,24.289999996,40.229999996,916945.094117647,1937368.4565684684,0.5161640763839179,109.05778398457703
2000,CHA,Chicago White Sox,95,31133500,27.205000000000002,17.893333333,45.098333333,327721.05263157893,690347.0194810624,1.4485468493102285,305.1375527968266
2000,CHN,Chicago Cubs,65,60539333,15.235,5.42,20.654999999999998,931374.3538461538,2930977.1483902205,0.34118314451862225,107.36821299303051
2000,CIN,Cincinnati Reds,85,46867200,22.694907978,17.064662576,39.759570553,551378.8235294118,1178765.2469114433,0.8483453364613206,181.36351222176705
2000,CLE,Cleveland Indians,90,75880771,29.045,19.723333333,48.768333333,843119.6777777778,1555943.4947647445,0.642696861013708,118.60712379951964
2000,COL,Colorado Rockies,82,61111190,17.865,18.786666668000002,36.651666668000004,745258.4146341464,1667350.9162232785,0.599753771248768,134.18164496551285
2000,DET,Detroit Tigers,79,58265167,22.2,14.986666667,37.186666667,737533.7594936709,1566829.5177342524,0.6382315297748996,135.58701376415863
2000,FLO,Florida Marlins,79,19872000,14.388819872,11.32993789,25.718757763,251544.30379746837,772665.6233991452,1.2942209019223028,397.54428341384863
2000,HOU,Houston Astros,72,51289111,20.35,7.116666668,27.466666668000002,712348.7638888889,1867322.0023365377,0.5355262770688305,140.3806745646264
2000,KCA,Kansas City Royals,77,23433000,20.445,8.293333333,28.738333333,304324.67532467534,815391.7531846592,1.226404358511501,328.5964238467119
2000,LAN,Los Angeles Dodgers,86,87924286,22.99,16.423333333,39.413333333,1022375.4186046511,2230825.9303300986,0.44826446851100954,97.81142834642979
